,X,Y,labels,district
295,29.883247,50.375248,0,1000016
296,29.88326,50.375244,0,1000016
297,29.883278,50.375496,0,1000016
298,29.883266,50.374985,0,1000016
299,29.883259,50.3755,0,1000016
300,29.883276,50.375496,0,1000016
301,29.883274,50.37549,0,1000016
302,12.854937,-2.890324,0,1000016
303,29.883282,50.37523,0,1000016
304,29.883293,50.375233,0,1000016
305,29.883293,50.375233,0,1000016
306,29.883253,50.37525,0,1000016
307,29.883257,50.375248,0,1000016
308,-21.79656,-22.003878,0,1000019
309,-21.796558,-22.003878,0,1000019
310,-21.79656,-22.003878,0,1000019
311,-21.796558,-22.003878,0,1000019
312,-21.796562,-22.003878,0,1000019
313,-21.796562,-22.003878,0,1000019
314,-21.796562,-22.003878,0,1000019
315,-21.796553,-22.00387,0,1000019
316,-21.796556,-22.003876,0,1000019
317,-21.796556,-22.003874,0,1000019
318,-21.79656,-22.003878,0,1000019
319,-21.79656,-22.003878,0,1000019
320,-9.869463,-16.671137,0,1000019
321,-21.796558,-22.003878,0,1000019
322,-21.796556,-22.003876,0,1000019
323,-21.79656,-22.003878,0,1000019
324,-21.796556,-22.003876,0,1000019
325,-21.79656,-22.003878,0,1000019
326,-9.850486,-16.677086,0,1000019
327,-21.796556,-22.003874,0,1000019
328,-9.937646,-16.644432,0,1000019
329,-21.79656,-22.003878,0,1000019
330,-21.79656,-22.003878,0,1000019
331,-21.79656,-22.003878,0,1000019
332,-8.990577,-16.982141,0,1000019
333,-21.796562,-22.003878,0,1000019
334,-39.772705,-6.8336573,0,1000020
335,-39.7727,-6.833657,0,1000020
336,-39.772705,-6.8336573,0,1000020
337,-39.7727,-6.833657,0,1000020
338,-39.772705,-6.8336573,0,1000020
339,-39.772705,-6.8336573,0,1000020
340,-39.7727,-6.833657,0,1000020
341,-39.772705,-6.8336573,0,1000020
342,-39.772705,-6.8336573,0,1000020
343,-39.7727,-6.833657,0,1000020
344,17.982643,-59.61041,0,1000020
345,17.982643,-59.61041,0,1000020
346,-39.7727,-6.833657,0,1000020
347,-39.772705,-6.8336573,0,1000020
348,-39.772705,-6.8336573,0,1000020
349,-39.7727,-6.833657,0,1000020
350,-39.772705,-6.8336573,0,1000020
351,-39.772705,-6.8336573,0,1000020
352,-39.772705,-6.8336573,0,1000020
353,-39.772705,-6.8336573,0,1000020
354,-39.772705,-6.8336573,0,1000020
355,-39.772705,-6.8336573,0,1000020
356,-39.772705,-6.8336573,0,1000020
357,-39.772705,-6.8336573,0,1000020
358,13.775615,13.49537,0,1000021
359,13.775752,13.49535,0,1000021
360,13.775748,13.495348,0,1000021
361,13.774861,13.270079,0,1000021
362,13.775624,13.4953575,0,1000021
363,13.775377,13.117142,0,1000021
364,13.77575,13.495383,0,1000021
365,13.77575,13.495383,0,1000021
366,13.775759,13.495372,0,1000021
367,13.77576,13.4953375,0,1000021
368,13.775752,13.495351,0,1000021
369,13.77576,13.495372,0,1000021
370,13.775751,13.495351,0,1000021
371,13.776461,13.172732,0,1000021
372,13.77576,13.495372,0,1000021
373,13.775759,13.495372,0,1000021
374,13.775759,13.495372,0,1000021
375,13.77575,13.495383,0,1000021
376,13.775749,13.495384,0,1000021
377,13.77576,13.495372,0,1000021
378,13.775995,13.35482,0,1000021
379,-8.907025,8.243305,0,1000021
380,-55.828133,-6.284458,0,1000022
381,-55.82388,-6.3010817,0,1000022
382,-55.828087,-6.284512,0,1000022
383,-55.82675,-6.316883,0,1000022
384,-55.827988,-6.2846165,0,1000022
385,-55.828186,-6.284407,0,1000022
386,-55.82843,-6.2841444,0,1000022
387,-55.827988,-6.284617,0,1000022
388,-55.828136,-6.28446,0,1000022
389,-55.82809,-6.2845125,0,1000022
390,-55.828087,-6.284511,0,1000022
